name,position,year,height,weight
Richie Niemiera,SG,1950,1.8542,74.829931973
Richie Niemiera,SG,1950,1.8542,74.829931973
Paul Noel,SF,1950,1.9304,83.900226757
Jim Nolan,C,1950,2.032,95.238095238
Johnny Norlander,SF,1950,1.905,81.632653061
George Nostrand,PF,1950,2.032,88.43537415
George Nostrand,PF,1950,2.032,88.43537415
George Nostrand,PF,1950,2.032,88.43537415
George Nostrand,PF,1950,2.032,88.43537415
Mike Novak,PF,1950,2.0574,99.319727891
Mike Novak,PF,1950,2.0574,99.319727891
Mike Novak,PF,1950,2.0574,99.319727891
Dermie O'Connell,PG,1950,1.8288,78.911564626
Dermie O'Connell,PG,1950,1.8288,78.911564626
Dermie O'Connell,PG,1950,1.8288,78.911564626
Andy O'Donnell,PG,1950,1.8542,81.632653061
Dick O'Keefe,SG,1950,1.8796,83.900226757
John Oldham,PG,1950,1.905,79.365079365
Gene Ollrich,PG,1950,1.8034,72.562358277
Johnny Orr,SF,1950,1.905,88.43537415
Johnny Orr,SF,1950,1.905,88.43537415
Johnny Orr,SF,1950,1.905,88.43537415
Don Otten,C,1950,2.0828,108.843537415
Don Otten,C,1950,2.0828,108.843537415
Don Otten,C,1950,2.0828,108.843537415
Mac Otten,PF,1950,2.0066,99.77324263
Mac Otten,PF,1950,2.0066,99.77324263
Mac Otten,PF,1950,2.0066,99.77324263
Red Owens,SG,1950,1.905,83.900226757
Red Owens,SG,1950,1.905,83.900226757
Red Owens,SG,1950,1.905,83.900226757
Easy Parham,SF,1950,1.905,90.702947846
Jack Parkinson,PG,1950,1.8288,78.911564626
Charlie Parsley,PG,1950,1.8796,79.365079365
Stan Patrick,SF,1950,1.8796,83.900226757
Stan Patrick,SF,1950,1.8796,83.900226757
Stan Patrick,SF,1950,1.8796,83.900226757
Johnny Payak,SG,1950,1.9304,78.911564626
Johnny Payak,SG,1950,1.9304,78.911564626
Johnny Payak,SG,1950,1.9304,78.911564626
Warren Perkins,SG,1950,1.905,86.167800454
Ed Peterson,C,1950,2.0574,99.77324263
Jack Phelan,SF,1950,1.9558,88.43537415
Jack Phelan,SF,1950,1.9558,88.43537415
Jack Phelan,SF,1950,1.9558,88.43537415
Andy Phillip*,,1950,,
Jim Pollard*,,1950,,
John Pritchard,C,1950,2.0574,99.77324263
Les Pugh,PF,1950,2.0066,86.167800454
Don Putman,PG,1950,1.8542,77.097505669
George Ratkovicz,PF,1950,1.9812,99.77324263
Don Ray,PF,1950,1.9558,86.167800454
Chick Reiser,SG,1950,1.8034,74.829931973
Arnie Risen*,,1950,,
Tex Ritter,SG,1950,1.8796,83.900226757
Bill Roberts,C,1950,2.0574,95.238095238
Red Rocha,PF,1950,2.0574,83.900226757
Kenny Rollins,PG,1950,1.8288,76.19047619
Bob Royer,PG,1950,1.778,70.29478458
Jerry Rullo,PG,1950,1.778,74.829931973
Ed Sadowski,C,1950,1.9558,108.843537415
Ed Sadowski,C,1950,1.9558,108.843537415
Ed Sadowski,C,1950,1.9558,108.843537415
Kenny Sailors,PG,1950,1.778,79.365079365
Pep Saul,SG,1950,1.8796,83.900226757
Herm Schaefer,SG,1950,1.8288,79.365079365
Marv Schatzman,SF,1950,1.9558,90.702947846
Fred Schaus,SF,1950,1.9558,92.970521542
Dolph Schayes*,,1950,,
Milt Schoon,C,1950,2.0066,104.308390023
Howie Schultz,PF,1950,1.9812,90.702947846
Howie Schultz,PF,1950,1.9812,90.702947846
Howie Schultz,PF,1950,1.9812,90.702947846
Dick Schulz,SF,1950,1.8796,87.074829932
Dick Schulz,SF,1950,1.8796,87.074829932
Dick Schulz,SF,1950,1.8796,87.074829932
Dick Schulz,SF,1950,1.8796,87.074829932
Fred Scolari,PG,1950,1.778,81.632653061
Wayne See,PG,1950,1.905,86.167800454
Glen Selbo,SG,1950,1.905,88.888888889
Rollie Seltz,SG,1950,1.778,74.829931973
Jim Seminoff,SG,1950,1.8796,86.167800454
George Senesky,PG,1950,1.8796,81.179138322
Paul Seymour,SG,1950,1.8542,81.632653061
Carl Shaeffer,SF,1950,1.905,83.900226757
Howie Shannon,SG,1950,1.8796,79.365079365
Charley Shipp,SG,1950,1.8542,90.702947846
Connie Simmons,PF,1950,2.032,100.680272109
Belus Smawley,SG,1950,1.8542,88.43537415
Jack Smiley,SF,1950,1.905,86.167800454
Jack Smiley,SF,1950,1.905,86.167800454
Jack Smiley,SF,1950,1.905,86.167800454
Chips Sobek,SG,1950,1.8288,81.632653061
Odie Spears,PG,1950,1.9558,92.970521542
Art Spector,SF,1950,1.9304,90.702947846
Ed Stanczak,SF,1950,1.8542,83.900226757
Gene Stump,SF,1950,1.8796,83.900226757
Gene Stump,SF,1950,1.8796,83.900226757
Gene Stump,SF,1950,1.8796,83.900226757
Mike Todorovich,PF,1950,1.9558,99.77324263
Mike Todorovich,PF,1950,1.9558,99.77324263
Mike Todorovich,PF,1950,1.9558,99.77324263
Jack Toomay,PF,1950,1.9812,97.505668934
Bob Tough,SG,1950,1.8288,83.900226757
Bob Tough,SG,1950,1.8288,83.900226757
Bob Tough,SG,1950,1.8288,83.900226757
Blackie Towery,PF,1950,1.9304,95.238095238
Dick Triptow,SG,1950,1.8288,77.097505669
Butch Van,,1950,,
Gene Vance,SG,1950,1.905,88.43537415
Ernie Vandeweghe,SF,1950,1.905,88.43537415
Floyd Volker,PF,1950,1.9304,92.970521542
Floyd Volker,PF,1950,1.9304,92.970521542
Floyd Volker,PF,1950,1.9304,92.970521542
Whitey Von,,1950,,
Whitey Von,,1950,,
Whitey Von,,1950,,
Clint Wager,PF,1950,1.9812,95.238095238
Danny Wagner,PG,1950,1.8288,77.097505669
Brady Walker,PF,1950,1.9812,92.970521542
Paul Walther,SG,1950,1.8796,72.562358277
Paul Walther,SG,1950,1.8796,72.562358277
Paul Walther,SG,1950,1.8796,72.562358277
Bobby Wanzer*,,1950,,
Murray Wier,PG,1950,1.7526,70.29478458
D.C. Wilcutt,PG,1950,1.8796,74.829931973
Bob Wood,,1950,,
Max Zaslofsky,SG,1950,1.8796,77.097505669
,,,,
Paul Arizin*,,1951,,
Curly Armstrong,SG,1951,1.8034,77.097505669
Cliff Barker,PG,1951,1.8796,83.900226757
Leo Barnhorst,SF,1951,1.9304,86.167800454
Ed Bartels,SF,1951,1.9558,88.43537415
Ed Beach,SF,1951,1.905,90.702947846
Ed Beach,SF,1951,1.905,90.702947846
Ed Beach,SF,1951,1.905,90.702947846
Ralph Beard,PG,1951,1.778,79.365079365
Leon Blevins,PG,1951,1.8796,72.562358277
Nelson Bobb,PG,1951,1.8288,77.097505669
Ike Borsavage,PF,1951,2.032,99.77324263
Vince Boryla,SF,1951,1.9558,95.238095238
Harry Boykoff,C,1951,2.0828,102.040816327
